04.MMHAP17FB1.seq	WC6.34
04.MMHAP18FLB1.seq	WC17.27
04.MMHAP20FRB7.seq	WC3.15
04.MMHAP24FLB1.seq	WC8.22
04.MMHAP25FLB1.seq	WC13.2
04.MMHAP25FRB7.seq	WC7.22
04.MMHAP27FLB1.seq	WC1.26
04.MMHAP27FRB7.seq	WCX.31
04.MMHAP28FRB7.seq	WC9.46
04.MMHAP31FLB1.seq	WC9.4
04.MMHAP35FLB1.seq	WCX.17
04.MMHAP36FRB7.seq	WC19.7
04.MMHAP37FLB1.seq	WC1.46
04.MMHAP38FLB1.seq	WC2.32
04.MMHAP3FLB1.seq	WC7.43
04.MMHAP54FLB1.seq	WC9.16
04.MMHAP59FLB1.seq	WC13.36
04.MMHAP59FRB7.seq	WC8.26
04.MMHAP63FLB1.seq	WC2.37
04.MMHAP64FRB7.seq	WC7.25
04.MMHAP66FLB1.seq	WC3.25
04.MMHAP67FLB1.seq	WC13.6
04.MMHAP69FLB1.seq	WCX.8
04.MMHAP6FLB1.seq	WC6.2
04.MMHAP71FRB7.seq	WC7.14
04.MMHAP75FRB7.seq	WC10.6
04.MMHAP7FLB1.seq	WC5.16
04.MMHAP81FRB7.seq	WC11.32
04.MMHAP82FLB1.seq	WC5.27
04.MMHAP88FRB7.seq	WC7.16
04.MMHAP90FLB1.seq	WC6.7
04.MMHAP90FRB7.seq	WC12.4
04.MMHAP91FLB1.seq	WC17.27
04.MMHAP94FLB1.seq	WC15.30
04.MMHAP97FRB7.seq	WC2.67
04.MMHAP9FLB1.seq	WC15.25
04.MMHAP9FRB7.seq	WC1.44
05.MHAa56e5.seq	WC12.27
05.MHAa63a5.seq	WC6.27
05.MMHAP12FLB2.seq	WC11.39
05.MMHAP12FRB8.seq	WC8.15
05.MMHAP14FLB2.seq	WC3.18
05.MMHAP17FRB8.seq	WC5.24
05.MMHAP18FLB2.seq	WC13.33
05.MMHAP19FRB8.seq	WC9.19
05.MMHAP20FRB8.seq	WC2.24
05.MMHAP25FLB2.seq	WC1.61
05.MMHAP25FRB8.seq	WC9.0
05.MMHAP26FLB2.seq	WC3.32
05.MMHAP27FRB8.seq	WC18.28
05.MMHAP28FLB2.seq	WC9.0
05.MMHAP28FRB8.seq	WC12.13
05.MMHAP29FLB2.seq	WC7.13
05.MMHAP31FLB2.seq	WC4.8
05.MMHAP34FRB8.seq	WCX.17
05.MMHAP36FRB8.seq	WC10.45
05.MMHAP38FLB2.seq	WC9.10
05.MMHAP3FRB8.seq	WC1.46
05.MMHAP40FRB8.seq	WC8.31
05.MMHAP42FRB8.seq	WC3.15
05.MMHAP4FRB8.seq	WC2.32
05.MMHAP54FLB2.seq	WC4.42
05.MMHAP54FRB8.seq	WC11.9
05.MMHAP56FRB8.seq	WC12.7
05.MMHAP58FLB2.seq	WC7.19
05.MMHAP58FRB8.seq	WC17.26
05.MMHAP59FLB2.seq	WC2.18
05.MMHAP5FRB8.seq	WC5.62
05.MMHAP61FRB8.seq	WC5.47
05.MMHAP62FLB2.seq	WC3.15
05.MMHAP62FRB8.seq	WC3.16
05.MMHAP63FLB2.seq	WC12.0
05.MMHAP64FRB8.seq	WC2.15
05.MMHAP66FLB2.seq	WC1.57
05.MMHAP66FRB8.seq	WC11.3
05.MMHAP6FRB8.seq	WC13.19
05.MMHAP71FRB8.seq	WC10.34
05.MMHAP76FLB2.seq	WC14.25
05.MMHAP7FLB2.seq	WC18.3
05.MMHAP80FLB2.seq	WC16.0
05.MMHAP81FLB2.seq	WC6.14
05.MMHAP82FRB8.seq	WC3.23
05.MMHAP84FLB2.seq	WC16.23
05.MMHAP84FRB8.seq	WC1.26
05.MMHAP85FRB8.seq	WC11.41
05.MMHAP90FLB2.seq	WC18.11
05.MMHAP91FLB2.seq	WC8.28
05.MMHAP91FRB8.seq	WC1.29
05.MMHAP95FRB8.seq	WC5.22
05.MMHAP97FLB2.seq	WC15.29
05.MMHAP97FRB8.seq	WC16.18
05.MMHAP9FLB2.seq	WC1.13
05.MMHAP9FRB8.seq	WC5.16
05.mHAa7h5.seq	WC8.18
06.MHAa63a6.seq	WC1.65
06.MHAa81T_M13Rev.seq	WC5.1
06.MMHAP10FRB9.seq	WC10.34
06.MMHAP14FLB3.seq	WC7.11
06.MMHAP14FRB9.seq	WC13.39
06.MMHAP15FLB3.seq	WC2.62
06.MMHAP15FRB9.seq	WC19.18
06.MMHAP16FLB3.seq	WC7.42
06.MMHAP16FRB9.seq	WC9.27
06.MMHAP23FLB3.seq	WC11.21
06.MMHAP24FRB9.seq	WC5.18
06.MMHAP25FRB9.seq	WC1.16
06.MMHAP31FLB3.seq	WC18.4
06.MMHAP32FLB3.seq	WC4.3
06.MMHAP34FLB3.seq	WC13.33
06.MMHAP38FLB3.seq	WC7.11
06.MMHAP47FLB3.seq	WC18.27
06.MMHAP48FLB3.seq	WC17.12
06.MMHAP50FLB3.seq	WC15.15
06.MMHAP53FLB3.seq	WC19.0
06.MMHAP53FRB9.seq	WC8.36
06.MMHAP54FLB3.seq	WC9.15
06.MMHAP54FRB9.seq	WC3.14
06.MMHAP59FLB3.seq	WC14.33
06.MMHAP59FRB9.seq	WC9.21
06.MMHAP63FRB9.seq	WC12.39
06.MMHAP64FLB3.seq	WC17.1
06.MMHAP65FRB9.seq	WC9.6
06.MMHAP66FRB9.seq	WC17.26
06.MMHAP67FRB9.seq	WC15.31
06.MMHAP69FLB3.seq	WC14.4
06.MMHAP71FRB9.seq	WC18.26
06.MMHAP76FRB9.seq	WC6.37
06.MMHAP81FLB3.seq	WC18.21
06.MMHAP82FLB3.seq	WC4.8
06.MMHAP83FLB3.seq	WC6.40
06.MMHAP83FRB9.seq	WC5.63
06.MMHAP84FRB9.seq	WC11.8
06.MMHAP85FRB9.seq	WC3.38
06.MMHAP86FLB3.seq	WC15.14
06.MMHAP89FLB3.seq	WC3.32
06.MMHAP91FLB3.seq	WC10.24
06.MMHAP95FRB9.seq	WC16.5
06.MMHAP9FLB3.seq	WC5.14
06.mHAa7h6.seq	WC2.45
07.MHAa43c7.seq	WC7.42
07.MHAa50e7.seq	WC9.3
07.MHAa59a7.seq	WC12.40
07.MHAa64e7.seq	WC7.21
07.MHAa92e7.seq	WC6.39
07.MMHAP10FC1.seq	WC1.24
07.MMHAP12FRC7.seq	WC12.26
07.MMHAP16FRC7.seq	WCX.9
07.MMHAP17FC1.seq	WC10.47
07.MMHAP20FRC7.seq	WC15.33
07.MMHAP24FLC1.seq	WC7.19
07.MMHAP27FLC1.seq	WC4.20
07.MMHAP28FRC7.seq	WC8.32
07.MMHAP29FLC1.seq	WC1.22
07.MMHAP31FLC1.seq	WC9.9
07.MMHAP34FLC1.seq	WC2.51
07.MMHAP35FLC1.seq	WC5.3
07.MMHAP36FRC7.seq	WC2.38
07.MMHAP37FRC7.seq	WC5.19
07.MMHAP38FLC1.seq	WC2.76
07.MMHAP50FLC1.seq	WC19.1
07.MMHAP53FLC1.seq	WC7.14
07.MMHAP53FRC7.seq	WC9.23
07.MMHAP54FLC1.seq	WC3.22
07.MMHAP54FRC7.seq	WC9.38
07.MMHAP57FRC7.seq	WC5.44
07.MMHAP61FLC1.seq	WC11.19
07.MMHAP61FRC7.seq	WC1.56
07.MMHAP63FLC1.seq	WC12.27
07.MMHAP63FRC7.seq	WC11.12
07.MMHAP64FLC1.seq	WC2.76
07.MMHAP66FLC1.seq	WC19.18
07.MMHAP6FLC1.seq	WC11.12
07.MMHAP6FRC7.seq	WC1.19
07.MMHAP71FLC1.seq	WC16.0
07.MMHAP84FLC1.seq	WC4.26
07.MMHAP84FRC7.seq	WC3.39
07.MMHAP85FLC1.seq	WC5.41
07.MMHAP85FRC7.seq	WC7.43
07.MMHAP86FLC1.seq	WC8.12
07.MMHAP86FRC7.seq	WC6.12
07.MMHAP88FRC7.seq	WC3.13
07.MMHAP97FRC7.seq	WC19.26
07.MMHAP9FLC1.seq	WC4.34
07.MMHAP9FRC7.seq	WC18.22
07.mHAa9f7.seq	WC5.1
08.E1_9_6_95.seq	WC14.25
08.MHAa26T.seq	WC8.17
08.MHAa46e8.seq	WC8.26
08.MHAa61B.seq	WC12.18
08.MHAa89e8.seq	WC11.32
08.MHAa92a8.seq	WC6.49
08.MHAa96a8.seq	WC19.25
08.MMHAP12FRC8.seq	WC2.45
08.MMHAP16FLC2.seq	WC14.24
08.MMHAP16FRC8.seq	WC17.34
08.MMHAP17FRC8.seq	WC1.36
08.MMHAP18FRC8.seq	WC3.11
08.MMHAP23FRC8.seq	WC13.12
08.MMHAP24FRC8.seq	WC7.46
08.MMHAP25FLC2.seq	WC12.4
08.MMHAP27FRC8.seq	WC14.17
08.MMHAP28FRC8.seq	WC3.41
08.MMHAP29FLC2.seq	WC10.6
08.MMHAP29FRC8.seq	WC10.17
08.MMHAP30FLC2.seq	WC5.62
08.MMHAP31FLC2.seq	WC3.41
08.MMHAP34FLC2.seq	WC10.4
08.MMHAP36FLC2.seq	WC15.1
08.MMHAP37FRC8.seq	WC13.12
08.MMHAP38FRC8.seq	WC19.18
08.MMHAP42FLC2.seq	WC3.22
08.MMHAP47FLC2.seq	WC15.3
08.MMHAP50FLC2.seq	WC8.41
08.MMHAP50FRC8.seq	WC6.5
08.MMHAP53FLC2.seq	WC7.39
08.MMHAP54FLC2.seq	WC3.16
08.MMHAP58FRC8.seq	WC2.73
08.MMHAP59FLC2.seq	WC8.37
08.MMHAP62FLC2.seq	WC15.23
08.MMHAP63FLC2.seq	WC17.34
08.MMHAP64FLC2.seq	WC7.35
08.MMHAP69FLC2.seq	WC10.9
08.MMHAP69FRC8.seq	WC16.18
08.MMHAP6FRC8.seq	WC1.71
08.MMHAP70FLC2.seq	WCX.41
08.MMHAP71FLC2.seq	WC4.3
08.MMHAP76FRC8.seq	WC9.16
08.MMHAP81FLC2.seq	WC7.43
08.MMHAP82FLC2.seq	WC18.13
08.MMHAP84FLC2.seq	WC10.45
08.MMHAP84FRC8.seq	WC6.31
08.MMHAP85FLC2.seq	WC18.10
08.MMHAP85FRC8.seq	WC18.29
08.MMHAP91FRC8.seq	WC1.15
08.MMHAP94FRC8.seq	WCX.12
08.MMHAP97FRC8.seq	WC15.36
08.MMHAP9FRC8.seq	WC2.67
08.mHAa9f8.seq	WC16.24
09.MHAa55e9.seq	WC14.20
09.MHAa56e9.seq	WC7.0
09.MHAa77a9.seq	WC11.12
09.MMHAP10FC3.seq	WC11.8
09.MMHAP11FLC3.seq	WC16.15
09.MMHAP12FRC9.seq	WC2.76
09.MMHAP14FLC3.seq	WC15.1
09.MMHAP14FRC9.seq	WC2.12
09.MMHAP15FLC3.seq	WC12.18
09.MMHAP17FC3.seq	WC7.1
09.MMHAP23FLC3.seq	WC4.53
09.MMHAP23FRC9.seq	WC2.43
09.MMHAP26FRC9.seq	WC12.34
09.MMHAP28FLC3.seq	WCX.33
09.MMHAP29FLC3.seq	WC1.42
09.MMHAP31FLC3.seq	WC19.11
09.MMHAP34FRC9.seq	WC14.44
09.MMHAP35FLC3.seq	WC5.20
09.MMHAP36FLC3.seq	WC11.6
09.MMHAP36FRC9.seq	WC13.33
09.MMHAP37FRC9.seq	WC4.14
09.MMHAP44FLC3.seq	WC18.19
09.MMHAP48FLC3.seq	WC11.0
09.MMHAP4FRC9.seq	WC2.59
09.MMHAP53FRC9.seq	WC18.5
09.MMHAP54FLC3.seq	WC14.39
09.MMHAP54FRC9.seq	WC5.18
09.MMHAP57FRC9.seq	WC7.38
09.MMHAP58FLC3.seq	WC6.21
09.MMHAP5FLC3.seq	WC18.3
09.MMHAP5FRC9.seq	WC3.16
09.MMHAP61FLC3.seq	WC2.55
09.MMHAP61FRC9.seq	WC12.27
09.MMHAP63FLC3.seq	WC5.62
09.MMHAP64FRC9.seq	WC11.6
09.MMHAP66FLC3.seq	WC2.56
09.MMHAP66FRC9.seq	WC2.4
09.MMHAP68FRC9.seq	WC4.8
09.MMHAP69FLC3.seq	WC18.20
09.MMHAP6FRC9.seq	WC19.25
09.MMHAP70FLC3.seq	WC7.3
09.MMHAP76FLC3.seq	WC1.64
09.MMHAP76FRC9.seq	WC6.7
09.MMHAP82FLC3.seq	WC1.42
09.MMHAP84FLC3.seq	WC2.49
09.MMHAP85FLC3.seq	WC5.44
09.MMHAP86FLC3.seq	WC14.30
09.MMHAP87FRC9.seq	WC2.2
09.MMHAP88FRC9.seq	WC16.6
09.MMHAP8FRC9.seq	WC14.21
09.MMHAP90FLC3.seq	WC4.29
09.MMHAP91FRC9.seq	WC4.33
09.MMHAP94FLC3.seq	WC13.38
09.mHAa3d9.seq	WC19.13
10.G1_8_30_95a79B.seq	WC3.42
10.MHAa43c10.seq	WC3.32
10.MHAa55e10.seq	WC10.6
10.MHAa63e10.seq	WC5.19
10.MHAa64e10.seq	WCX.33
10.MHAa65T_M13Rev.seq	WC3.41
10.MHAa79T.seq	WC12.27
10.MHAa89e10.seq	WC3.27
10.MHAa91e10.seq	WC7.13
10.MHAa95a10.seq	WC14.31
10.MHAa96a10.seq	WC7.42
10.MHAa98e10.seq	WC5.44
10.MMHAP11FLD1.seq	WC7.11
10.MMHAP12FRD7.seq	WC15.36
10.MMHAP16FRD7.seq	WC9.10
10.MMHAP20FRD7.seq	WC2.17
10.MMHAP22FRD7.seq	WC7.11
10.MMHAP25FRD7.seq	WC11.24
10.MMHAP26FLD1.seq	WC8.11
10.MMHAP27FLD1.seq	WC9.4
10.MMHAP27FRD7.seq	WC2.12
10.MMHAP28FLD1.seq	WC10.39
10.MMHAP30FLD1.seq	WC15.33
10.MMHAP31FLD1.seq	WC2.43
10.MMHAP34FLD1.seq	WC12.18
10.MMHAP35FLD1.seq	WC18.27
10.MMHAP35FRD7.seq	WC18.5
10.MMHAP38FLD1.seq	WC3.16
10.MMHAP3FRD7.seq	WC13.2
10.MMHAP42FRD7.seq	WC16.23
10.MMHAP47FLD1.seq	WC13.36
10.MMHAP4FRD7.seq	WC4.42
10.MMHAP54FLD1.seq	WC2.67
10.MMHAP59FLD1.seq	WC9.16
10.MMHAP5FLD1.seq	WC15.36
10.MMHAP61FLD1.seq	WC2.20
10.MMHAP62FLD1.seq	WC9.4
10.MMHAP62FRD7.seq	WC7.16
10.MMHAP63FLD1.seq	WC8.15
10.MMHAP64FLD1.seq	WC6.50
10.MMHAP64FRD7.seq	WC15.14
10.MMHAP66FLD1.seq	WC18.34
10.MMHAP67FLD1.seq	WC1.5
10.MMHAP67FRD7.seq	WC1.53
10.MMHAP68FRD7.seq	WC7.42
10.MMHAP6FLD1.seq	WC10.39
10.MMHAP71FRD7.seq	WC3.17
10.MMHAP75FRD7.seq	WC16.1
10.MMHAP76FLD1.seq	WC11.24
10.MMHAP76FRD7.seq	WC17.8
10.MMHAP79FRD7.seq	WC13.27
10.MMHAP82FLD1.seq	WC2.49
10.MMHAP82FRD7.seq	WC12.7
10.MMHAP84FLD1.seq	WC2.8
10.MMHAP84FRD7.seq	WC14.46
10.MMHAP85FLD1.seq	WC18.17
10.MMHAP86FLD1.seq	WC19.13
10.MMHAP89FLD1.seq	WC6.36
10.MMHAP8FRD7.seq	WC6.13
10.MMHAP91FRD7.seq	WC17.22
10.MMHAP94FRD7.seq	WC2.68
10.MMHAP95FRD7.seq	WC1.48
10.MMHAP97FRD7.seq	WC19.13
10.MMHAP9FRD7.seq	WC1.20
10.mHAa9f10.seq	WC4.54
11.MHAa49a11.seq	WC8.21
11.MHAa61B.seq	WC17.14
11.MHAa63a11.seq	WC13.27
11.MHAa92e11.seq	WC9.3
11.MHAa93e11.seq	WC8.30
11.MMHAP10FD2.seq	WC11.5
11.MMHAP11FRD8.seq	WCX.41
11.MMHAP16FLD2.seq	WC16.7
11.MMHAP16FRD8.seq	WC9.32
11.MMHAP17FD2.seq	WC12.37
11.MMHAP18FLD2.seq	WC3.34
11.MMHAP20FRD8.seq	WC5.61
11.MMHAP24FRD8.seq	WC2.68
11.MMHAP26FRD8.seq	WC3.16
11.MMHAP28FRD8.seq	WC1.16
11.MMHAP29FRD8.seq	WC1.33
11.MMHAP32FLD2.seq	WC17.20
11.MMHAP34FRD8.seq	WC12.34
11.MMHAP35FLD2.seq	WC12.14
11.MMHAP36FLD2.seq	WC5.55
11.MMHAP38FRD8.seq	WC17.29
11.MMHAP44FRD8.seq	WC2.52
11.MMHAP45FRD8.seq	WC3.39
11.MMHAP46FLD2.seq	WC2.67
11.MMHAP51FRD8.seq	WC11.34
11.MMHAP54FRD8.seq	WC15.30
11.MMHAP56FRD8.seq	WC11.4
11.MMHAP5FRD8.seq	WC11.14
11.MMHAP61FLD2.seq	WC14.11
11.MMHAP62FLD2.seq	WC12.33
11.MMHAP63FRD8.seq	WC6.49
11.MMHAP69FLD2.seq	WC13.33
11.MMHAP6FLD2.seq	WC10.48
11.MMHAP6FRD8.seq	WC18.18
11.MMHAP75FRD8.seq	WC5.61
11.MMHAP7FLD2.seq	WC1.12
11.MMHAP80FLD2.seq	WC7.32
11.MMHAP80FRD8.seq	WC15.34
11.MMHAP81FRD8.seq	WC1.64
11.MMHAP83FRD8.seq	WC16.34
11.MMHAP87FLD2.seq	WC8.6
11.MMHAP87FRD8.seq	WC2.52
11.MMHAP90FRD8.seq	WC6.40
11.MMHAP91FLD2.seq	WC2.31
11.MMHAP91FRD8.seq	WC3.42
11.mHAa7h11.seq	WC6.7
11_27_2.seq	WCX.26
11_27_36iis.seq	WC16.1
12.MHAa90a12.seq	WC18.22
12.MMHAP12FLD3.seq	WC13.9
12.MMHAP12FRD9.seq	WC7.34
12.MMHAP14FLD3.seq	WC5.56
12.MMHAP15FRD9.seq	WC14.43
12.MMHAP17FRD9.seq	WC5.45
12.MMHAP18FLD3.seq	WC18.10
12.MMHAP21FLD3.seq	WC3.37
12.MMHAP24FLD3.seq	WC10.32
12.MMHAP26FRD9.seq	WC18.34
12.MMHAP28FLD3.seq	WC6.45
12.MMHAP28FRD9.seq	WC8.22
12.MMHAP29FLD3.seq	WC6.39
12.MMHAP29FRD9.seq	WC6.36
12.MMHAP31FLD3.seq	WC1.7
12.MMHAP32FLD3.seq	WC10.6
12.MMHAP33FLD3.seq	WC1.13
