25.MMHAP14FLA4.seq	WC12.34
25.MMHAP24FRA10.seq	WC9.14
25.MMHAP25FRA10.seq	WC16.18
25.MMHAP28FRA10.seq	WC2.57
25.MMHAP32FLA4.seq	WC17.4
25.MMHAP34FRA10.seq	WC16.29
25.mHAa3f1.seq	WC17.1
25.mHAa8b1.seq	WC9.41
25.mHAa9h1.seq	WC1.52
26.MHAa43e2.seq	WC14.35
26.MHAa56g2.seq	WC18.2
26.MHAa58c2.seq	WC15.31
26.MHAa59c2.seq	WC9.14
26.MHAa63c2.seq	WC2.3
26.MHAa77c2.seq	WC18.27
26.MHAa90g2.seq	WC14.16
26.MHAa92c2.seq	WC10.3
26.MHAa93g2.seq	WC2.26
26.MHAa95c2.seq	WC16.30
26.MMHAP11FLA5.seq	WC1.68
26.MMHAP11FRA11.seq	WC14.34
26.MMHAP12FLA5.seq	WC16.18
26.MMHAP20FRA11.seq	WC3.15
26.MMHAP24FLA5.seq	WC17.0
26.MMHAP24FRA11.seq	WC4.19
26.MMHAP26FRA11.seq	WC18.35
26.MMHAP28FLA5.seq	WC15.5
26.MMHAP32FLA5.seq	WC17.1
26.mHAa8b2.seq	WC12.6
27.E1_9_6_95.seq	WC2.37
27.G1_8_30_95a79B.seq	WC13.23
27.MHAa58c3.seq	WC12.22
27.MHAa98g3.seq	WC9.2
27.MMHAP11FRA12.seq	WC5.15
27.MMHAP20FRA12.seq	WC2.28
27.MMHAP24FLA6.seq	WC6.48
27.MMHAP25FLA6.seq	WC2.49
27.MMHAP26FRA12.seq	WC10.3
27.MMHAP28FLA6.seq	WC10.46
27.MMHAP32FLA6.seq	WC13.0
27.mHAa3f3.seq	WCX.43
27.mHAa8b3.seq	WC4.55
28.E1_9_6_95.seq	WC15.4
28.MHAa58c4.seq	WC19.8
28.MHAa63c4.seq	WC3.41
28.MHAa64g4.seq	WC9.14
28.MHAa65T_M13Rev.seq	WC1.48
28.MMHAP11FRB10.seq	WC3.44
28.MMHAP12FRB10.seq	WC2.38
28.MMHAP14FLB4.seq	WC2.33
28.MMHAP22FRB10.seq	WC2.64
28.MMHAP24FRB10.seq	WC4.30
28.MMHAP25FLB4.seq	WC18.16
28.MMHAP27FRB10.seq	WC6.38
28.MMHAP28FLB4.seq	WC1.15
28.MMHAP28FRB10.seq	WCX.19
28.MMHAP34FRB10.seq	WC9.7
28.mHAa8b4.seq	WC11.41
29.MHAa27B.seq	WCX.25
29.MHAa52g5.seq	WC16.40
29.MHAa59c5.seq	WC15.17
29.MHAa64g5.seq	WC6.44
29.MHAa77c5.seq	WC4.8
29.MHAa92c5.seq	WC5.14
29.MMHAP14FLB5.seq	WC9.10
29.MMHAP20FRB11.seq	WC5.57
29.MMHAP22FRB11.seq	WC13.42
29.MMHAP23FLB5.seq	WC4.46
29.MMHAP24FLB5.seq	WC15.18
29.MMHAP24FRB11.seq	WC15.19
29.MMHAP25FRB11.seq	WC10.46
29.MMHAP28FRB11.seq	WC4.54
29.MMHAP32FLB5.seq	WC18.34
30.MHAa52g6.seq	WC17.16
30.MHAa58c6.seq	WC4.25
30.MHAa89g6.seq	WC1.11
30.MHAa96c6.seq	WC1.13
30.MMHAP11FLB6.seq	WC4.46
30.MMHAP12FLB6.seq	WC12.34
30.MMHAP12FRB12.seq	WC19.21
30.MMHAP14FLB6.seq	WC3.40
30.MMHAP22FRB12.seq	WC17.20
30.MMHAP25FRB12.seq	WC6.45
30.MMHAP26FRB12.seq	WC2.60
30.MMHAP27FRB12.seq	WC12.6
30.MMHAP28FLB6.seq	WC13.16
30.MMHAP28FRB12.seq	WC6.45
30.MMHAP31FLB6.seq	WC6.2
30.MMHAP34FRB12.seq	WC4.13
30.mHAa3f6.seq	WCX.34
31.MMHAP22FRC10.seq	WC2.56
31.MMHAP23FLC4.seq	WC11.15
31.MMHAP25FRC10.seq	WC3.45
31.MMHAP27FLC4.seq	WC5.42
31.MMHAP27FRC10.seq	WC2.45
31.MMHAP28FLC4.seq	WC4.55
31.MMHAP28FRC10.seq	WC10.34
31.MMHAP32FLC4.seq	WC2.15
31.MMHAP33FLC4.seq	WC5.11
32.MHAa43e8.seq	WC13.22
32.MHAa55g8.seq	WC6.15
32.MHAa56g8.seq	WC5.33
32.MHAa63g8.seq	WC13.12
32.MHAa79T.seq	WC8.20
32.MHAa96c8.seq	WC7.35
32.MMHAP11FLC5.seq	WC4.42
32.MMHAP23FLC5.seq	WC11.2
32.MMHAP26FRC11.seq	WC11.5
32.MMHAP27FLC5.seq	WC8.28
32.MMHAP28FLC5.seq	WC5.54
32.MMHAP32FLC5.seq	WC1.45
32.mHAa3f8.seq	WCX.6
32.mHAa8b8.seq	WC18.8
33.MHAa10g9.seq	WC4.18
33.MHAa42g9.seq	WC17.17
33.MHAa63c9.seq	WC11.17
33.MHAa77c9.seq	WC12.18
33.MHAa79T.seq	WC5.3
33.MHAa90c9.seq	WC12.38
33.MHAa90g9.seq	WC14.14
33.MHAa92g9.seq	WC12.31
33.MHAa95c9.seq	WC4.20
33.MMHAP12FRC12.seq	WC4.0
33.MMHAP20FRC12.seq	WC12.24
33.MMHAP25FLC6.seq	WC17.7
33.MMHAP26FLC6.seq	WC4.23
33.MMHAP28FLC6.seq	WC5.18
33.MMHAP29FLC6.seq	WC8.35
33.MMHAP32FLC6.seq	WC1.28
33.mHAa9h9.seq	WC8.45
34.E1_9_6_95.seq	WC2.45
34.MHAa56g10.seq	WC12.18
34.MHAa59c10.seq	WC9.48
34.MHAa63g10.seq	WC11.36
34.MHAa91g10.seq	WC1.59
34.MHAa92c10.seq	WC17.32
34.MMHAP11FLD4.seq	WC8.1
34.MMHAP12FRD10.seq	WC6.44
34.MMHAP22FRD10.seq	WC3.34
34.MMHAP23FLD4.seq	WC9.8
34.MMHAP26FLD4.seq	WCX.36
34.MMHAP26FRD10.seq	WC10.36
34.MMHAP27FLD4.seq	WC1.35
34.MMHAP27FRD10.seq	WC4.0
34.MMHAP28FLD4.seq	WCX.19
34.MMHAP28FRD10.seq	WC2.3
34.MMHAP33FLD4.seq	WC6.36
34.mHAa3c10.seq	WC14.44
35.MMHAP12FRD11.seq	WC3.47
35.MMHAP14FLD5.seq	WC6.47
35.MMHAP20FLD5.seq	WC13.11
35.MMHAP22FRD11.seq	WC11.14
35.MMHAP25FRD11.seq	WC3.46
35.MMHAP26FRD11.seq	WC15.32
35.MMHAP27FLD5.seq	WC10.24
35.MMHAP27FRD11.seq	WC2.68
35.MMHAP28FLD5.seq	WC4.31
35.MMHAP28FRD11.seq	WC2.2
36.MHAa63c12.seq	WC4.0
36.MHAa63g12.seq	WC11.48
36.MHAa77c12.seq	WC16.38
36.MHAa91g12.seq	WC2.63
36.MHAa92g12.seq	WC7.26
36.MMHAP14FLD6.seq	WC17.17
36.MMHAP25FLD6.seq	WC19.11
36.MMHAP25FRD12.seq	WC4.46
36.MMHAP26FLD6.seq	WC6.48
36.MMHAP26FRD12.seq	WC6.33
36.MMHAP28FRD12.seq	WC8.16
36.MMHAP31FLD6.seq	WC18.3
36.mHAa3c12.seq	WC13.40
37.E1_9_6_95.seq	WC1.59
37.MHAa56h1.seq	WC12.11
37.MHAa58d1.seq	WC9.14
37.MHAa59d1.seq	WC13.24
37.MHAa63d1.seq	WC6.15
37.MHAa90d1.seq	WC2.24
37.MHAa91h1.seq	WC14.39
37.MHAa92d1.seq	WC13.17
37.MMHAP12FRE10.seq	WC19.12
37.MMHAP14FLE4.seq	WC6.2
37.MMHAP23FLE4.seq	WC17.10
37.MMHAP24FRE10.seq	WC6.51
37.MMHAP25FLE4.seq	WC2.60
37.MMHAP27FRE10.seq	WCX.40
37.MMHAP28FLE4.seq	WC11.5
37.MMHAP31FLE4.seq	WC4.15
38.MHAa10h2.seq	WC4.36
38.MHAa52h2.seq	WC15.41
38.MHAa56h2.seq	WC9.23
38.MHAa63h2.seq	WC10.36
38.MHAa64h2.seq	WC2.63
38.MHAa75d2.seq	WC16.21
38.MHAa91h2.seq	WC15.34
38.MHAa93h2.seq	WC17.29
38.MMHAP14FLE5.seq	WC13.6
38.MMHAP20FLE5.seq	WC8.41
38.MMHAP23FLE5.seq	WC1.8
38.MMHAP23FRE11.seq	WC12.18
38.MMHAP26FRE11.seq	WC2.42
38.MMHAP32FLE5.seq	WC4.14
39.MHAa55h3.seq	WC13.10
39.MHAa59d3.seq	WC10.43
39.MHAa66d3.seq	WC15.38
39.MHAa77d3.seq	WC2.70
39.MHAa90d3.seq	WC3.19
39.MHAa91h3.seq	WC2.15
39.MHAa92h3.seq	WC5.17
39.MMHAP23FLE6.seq	WC3.9
39.MMHAP23FRE12.seq	WC11.46
39.MMHAP26FLE6.seq	WC14.23
39.MMHAP27FLE6.seq	WC17.17
39.MMHAP28FLE6.seq	WC5.9
40.E1_8_31_95.seq	WC9.14
40.MHAa27B.seq	WC13.9
40.MHAa61B.seq	WC12.5
40.MHAa64h4.seq	WC13.2
40.MHAa89h4.seq	WC2.45
40.MHAa90d4.seq	WC10.22
40.MHAa91h4.seq	WC3.45
40.MHAa92d4.seq	WC9.23
40.MHAa96d4.seq	WC3.27
40.MMHAP11FRF10.seq	WC18.9
40.MMHAP20FRF10.seq	WC4.55
40.MMHAP23FLF4.seq	WC8.38
40.MMHAP25FLF4.seq	WC9.9
40.MMHAP25FRF10.seq	WC5.23
40.MMHAP28FLF4.seq	WC6.43
40.MMHAP28FRF10.seq	WC10.40
40.MMHAP29FLF4.seq	WC4.36
40.MMHAP33FLF4.seq	WC4.25
41.MHAa43f5.seq	WC14.38
41.MHAa52h5.seq	WC11.12
41.MHAa63d5.seq	WC6.44
41.MHAa75d5.seq	WC16.38
41.MHAa77d5.seq	WC8.25
41.MHAa90d5.seq	WC14.38
41.MHAa90h5.seq	WC16.19
41.MHAa96d5.seq	WC2.7
41.MMHAP12FLF5.seq	WC4.13
41.MMHAP12FRF11.seq	WC4.27
41.MMHAP20FLF5.seq	WC16.18
41.MMHAP23FLF5.seq	WC16.38
41.MMHAP25FLF5.seq	WC4.40
41.MMHAP26FRF11.seq	WC3.0
41.MMHAP27FLF5.seq	WC8.30
41.MMHAP28FLF5.seq	WC8.5
41.MMHAP31FLF5.seq	WC14.30
42.MHAa52h6.seq	WC10.36
42.MHAa64h6.seq	WC15.0
42.MHAa75d6.seq	WC2.10
42.MHAa77d6.seq	WC2.7
42.MHAa90d6.seq	WC6.22
42.MHAa95d6.seq	WC11.47
42.MHAa96d6.seq	WC6.45
42.MHAa98h6.seq	WC14.32
42.MMHAP12FLF6.seq	WC17.6
42.MMHAP20FRF12.seq	WC4.51
42.MMHAP25FLF6.seq	WC5.12
42.MMHAP32FLF6.seq	WC16.35
43.G1_8_30_95a79B.seq	WC4.19
43.MHAa52h7.seq	WC3.37
43.MHAa56h7.seq	WC13.14
43.MHAa63d7.seq	WC9.25
43.MHAa65T_M13Rev.seq	WC8.40
43.MHAa92h7.seq	WC4.10
43.MHAa98h7.seq	WC6.33
43.MMHAP14FLG4.seq	WC1.43
43.MMHAP20FRG10.seq	WC9.16
43.MMHAP24FRG10.seq	WC8.43
