12.MHAa90a12.seq	WC-189
12.MMHAP12FRD9.seq	WC-1392
12.MMHAP14FLD3.seq	WC-774
12.MMHAP21FLD3.seq	WC-1065
12.MMHAP24FLD3.seq	WC-895
12.MMHAP26FRD9.seq	WC-1020
12.MMHAP27FRD9.seq	WC-1457
12.MMHAP28FLD3.seq	WC-763
12.MMHAP28FRD9.seq	WC-1522
12.MMHAP29FLD3.seq	WC-1370
12.MMHAP29FRD9.seq	WC-642
12.MMHAP32FLD3.seq	WC-1592
12.MMHAP33FLD3.seq	WC-1465
13.MHAa56f1.seq	WC-1553
13.MHAa93f1.seq	WC-1026
13.MHAa96b1.seq	WC-763
13.MMHAP12FLE1.seq	WC-407
13.MMHAP20FRE7.seq	WC-1144
13.MMHAP21FLE1.seq	WC-1269
13.MMHAP22FRE7.seq	WC-975
13.MMHAP25FLE1.seq	WC-191
13.MMHAP25FRE7.seq	WC-1314
13.MMHAP27FLE1.seq	WC-936
13.MMHAP27FRE7.seq	WC-1402
13.MMHAP28FLE1.seq	WC-1662
13.MMHAP28FRE7.seq	WC-307
13.MMHAP29FRE7.seq	WC-549
13.mHAa3b1.seq	WC-1445
13.mHAa9g1.seq	WC-627
14.MHAa59b2.seq	WC-997
14.MHAa62T.seq	WC-1525
14.MHAa63f2.seq	WC-58
14.MHAa64f2.seq	WC-1577
14.MHAa75b2.seq	WC-188
14.MMHAP10FRE8.seq	WC-1305
14.MMHAP11FLE2.seq	WC-316
14.MMHAP11FRE8.seq	WC-612
14.MMHAP22FRE8.seq	WC-882
14.MMHAP24FLE2.seq	WC-993
14.MMHAP24FRE8.seq	WC-806
14.MMHAP25FLE2.seq	WC-1046
14.MMHAP26FLE2.seq	WC-933
14.MMHAP27FRE8.seq	WC-126
14.MMHAP28FRE8.seq	WC-450
14.MMHAP32FLE2.seq	WC-1588
14.MMHAP33FRE8.seq	WC-1040
15.E1_9_6_95.seq	WC-141
15.MHAa10f3.seq	WC-881
